Sample in Buffer,Sample in Window,TRIGGER,w_fir_q[15:0],w_fir_i[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
978,978,0,fe17,002c
979,979,0,fe21,006a
980,980,0,fe33,00a8
981,981,0,fe4c,00e5
982,982,0,fe6b,0120
983,983,0,fe90,0156
984,984,0,febc,0186
985,985,0,feed,01af
986,986,0,ff22,01d0
987,987,0,ff5c,01e9
988,988,0,ff99,01f8
989,989,0,ffd7,01ff
990,990,0,0017,01fe
991,991,0,0056,01f5
992,992,0,0094,01e6
993,993,0,00cf,01d0
994,994,0,0107,01b5
995,995,0,013b,0193
996,996,0,016a,016d
997,997,0,0192,0141
998,998,0,01b5,0111
999,999,0,01d0,00db
1000,1000,0,01e3,00a2
1001,1001,0,01ef,0064
1002,1002,0,01f3,0024
1003,1003,0,01ef,ffe3
1004,1004,0,01e4,ffa1
1005,1005,0,01d1,ff61
1006,1006,0,01b8,ff23
1007,1007,0,0198,fee9
1008,1008,0,0173,feb4
1009,1009,0,0148,fe85
1010,1010,0,0119,fe5d
1011,1011,0,00e6,fe3d
1012,1012,0,00af,fe25
1013,1013,0,0075,fe15
1014,1014,0,0039,fe0e
1015,1015,0,fffb,fe10
1016,1016,0,ffbc,fe19
1017,1017,0,ff7d,fe2b
1018,1018,0,ff40,fe43
1019,1019,0,ff05,fe62
1020,1020,0,fecf,fe86
1021,1021,0,fe9e,feaf
1022,1022,0,fe73,fede
1023,1023,0,fe4f,ff10
