Sample in Buffer,Sample in Window,TRIGGER,w_fir_q[15:0],w_fir_i[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
227,227,0,01f5,0048
228,228,0,01f8,000d
229,229,0,01f3,ffd1
230,230,0,01e6,ff96
231,231,0,01d2,ff5b
232,232,0,01b6,ff22
233,233,0,0193,feec
234,234,0,0169,feb9
235,235,0,0139,fe8b
236,236,0,0104,fe62
237,237,0,00cb,fe3f
238,238,0,008f,fe24
239,239,0,0050,fe10
240,240,0,0011,fe04
241,241,0,ffd2,fe01
242,242,0,ff94,fe07
243,243,0,ff58,fe16
244,244,0,ff1f,fe2e
245,245,0,fee9,fe4f
246,246,0,feb7,fe77
247,247,0,fe8a,fea7
248,248,0,fe62,fedd
249,249,0,fe40,ff18
250,250,0,fe25,ff56
251,251,0,fe11,ff97
252,252,0,fe06,ffd7
253,253,0,fe03,0018
254,254,0,fe09,0056
255,255,0,fe17,0092
256,256,0,fe2d,00cb
257,257,0,fe4b,0100
258,258,0,fe70,0131
259,259,0,fe9a,015d
260,260,0,feca,0185
261,261,0,fefd,01a6
262,262,0,ff34,01c2
263,263,0,ff6e,01d7
264,264,0,ffaa,01e6
265,265,0,ffe6,01ed
266,266,0,0022,01ec
267,267,0,005e,01e4
268,268,0,0098,01d4
269,269,0,00cf,01bc
270,270,0,0103,019d
271,271,0,0132,0178
272,272,0,015d,014d
273,273,0,0182,011c
274,274,0,01a2,00e7
275,275,0,01bc,00ad
276,276,0,01d0,0071
277,277,0,01de,0033
278,278,0,01e5,fff4
279,279,0,01e5,ffb4
280,280,0,01de,ff75
281,281,0,01cf,ff38
282,282,0,01b8,fefe
283,283,0,0199,fec7
284,284,0,0172,fe95
285,285,0,0142,fe69
286,286,0,010c,fe43
287,287,0,00d0,fe24
288,288,0,008f,fe0d
289,289,0,004d,fdfe
290,290,0,000a,fdf8
291,291,0,ffc8,fdfa
292,292,0,ff8a,fe05
293,293,0,ff51,fe19
294,294,0,ff1d,fe34
295,295,0,feef,fe57
296,296,0,fec6,fe81
297,297,0,fea3,feb2
298,298,0,fe84,fee7
299,299,0,fe69,ff20
300,300,0,fe53,ff5c
301,301,0,fe41,ff99
302,302,0,fe33,ffd7
303,303,0,fe2b,0016
304,304,0,fe2a,0053
305,305,0,fe30,008e
306,306,0,fe3f,00c6
307,307,0,fe57,00fc
308,308,0,fe78,012e
309,309,0,fea1,015b
310,310,0,fed1,0184
311,311,0,ff07,01a8
312,312,0,ff41,01c6
313,313,0,ff7e,01df
314,314,0,ffbb,01f0
315,315,0,fff7,01fb
316,316,0,0032,01ff
317,317,0,006b,01fa
318,318,0,00a1,01ed
319,319,0,00d4,01d7
320,320,0,0104,01b9
321,321,0,0130,0192
322,322,0,0159,0163
323,323,0,017e,012e
324,324,0,019e,00f3
325,325,0,01b8,00b4
326,326,0,01cb,0072
327,327,0,01d7,0030
328,328,0,01db,ffed
329,329,0,01d7,ffad
330,330,0,01ca,ff6f
331,331,0,01b6,ff35
332,332,0,019a,feff
333,333,0,0178,fece
334,334,0,0150,fea2
335,335,0,0122,fe7b
336,336,0,00f0,fe5a
337,337,0,00bb,fe40
338,338,0,0082,fe2d
339,339,0,0046,fe22
340,340,0,0008,fe1d
341,341,0,ffc9,fe20
342,342,0,ff8a,fe2a
343,343,0,ff4c,fe3a
344,344,0,ff0f,fe51
345,345,0,fed6,fe6e
346,346,0,fea1,fe90
347,347,0,fe72,feb7
348,348,0,fe4a,fee2
349,349,0,fe28,ff12
350,350,0,fe0f,ff46
351,351,0,fdfe,ff7e
352,352,0,fdf6,ffb8
353,353,0,fdf5,fff5
354,354,0,fdfd,0033
355,355,0,fe0c,0072
356,356,0,fe22,00af
357,357,0,fe3e,00ea
358,358,0,fe60,0121
359,359,0,fe88,0154
360,360,0,feb4,0180
361,361,0,fee5,01a6
362,362,0,ff1a,01c4
363,363,0,ff53,01da
364,364,0,ff8e,01e9
365,365,0,ffcc,01ef
366,366,0,000b,01ed
367,367,0,004a,01e3
368,368,0,0089,01d1
369,369,0,00c5,01b7
370,370,0,00ff,0197
371,371,0,0134,0171
372,372,0,0164,0144
373,373,0,018e,0113
374,374,0,01b1,00de
375,375,0,01cd,00a5
376,376,0,01e1,006a
377,377,0,01ee,002e
378,378,0,01f3,fff1
379,379,0,01f1,ffb5
380,380,0,01e6,ff79
381,381,0,01d5,ff3e
382,382,0,01bb,ff06
383,383,0,019a,fed1
384,384,0,0171,fe9f
385,385,0,0142,fe73
386,386,0,010d,fe4d
387,387,0,00d4,fe2e
388,388,0,0097,fe17
389,389,0,0058,fe09
390,390,0,0019,fe04
391,391,0,ffda,fe08
392,392,0,ff9d,fe14
393,393,0,ff63,fe29
394,394,0,ff2c,fe45
395,395,0,fef8,fe67
396,396,0,fec8,fe8e
397,397,0,fe9d,feba
398,398,0,fe76,fee8
399,399,0,fe54,ff1a
400,400,0,fe38,ff4e
401,401,0,fe22,ff84
402,402,0,fe14,ffbb
403,403,0,fe0e,fff4
404,404,0,fe10,002e
405,405,0,fe1a,0068
406,406,0,fe2c,00a2
407,407,0,fe45,00da
408,408,0,fe66,0110
409,409,0,fe8d,0143
410,410,0,feb9,0172
411,411,0,feea,019b
412,412,0,ff1e,01bd
413,413,0,ff56,01d9
414,414,0,ff90,01ec
415,415,0,ffcd,01f7
416,416,0,000a,01f8
417,417,0,0047,01f1
418,418,0,0083,01e0
419,419,0,00be,01c7
420,420,0,00f6,01a5
421,421,0,012a,017b
422,422,0,015a,014c
423,423,0,0185,0116
424,424,0,01aa,00db
425,425,0,01c8,009d
426,426,0,01df,005d
427,427,0,01ee,001c
428,428,0,01f6,ffdb
429,429,0,01f4,ff9b
430,430,0,01ea,ff5e
431,431,0,01d8,ff23
432,432,0,01bd,feee
433,433,0,019b,febe
434,434,0,0171,fe93
435,435,0,0141,fe70
436,436,0,010c,fe53
437,437,0,00d3,fe3d
438,438,0,0097,fe2e
439,439,0,005a,fe26
440,440,0,001c,fe25
441,441,0,ffde,fe29
442,442,0,ffa1,fe34
443,443,0,ff67,fe44
444,444,0,ff2f,fe59
445,445,0,fefa,fe75
446,446,0,fec9,fe95
447,447,0,fe9d,febc
448,448,0,fe76,fee7
449,449,0,fe54,ff17
450,450,0,fe39,ff4c
451,451,0,fe24,ff84
452,452,0,fe17,ffbe
453,453,0,fe10,fffa
454,454,0,fe11,0038
455,455,0,fe19,0074
456,456,0,fe2a,00b0
457,457,0,fe41,00e9
458,458,0,fe61,011e
459,459,0,fe87,0150
460,460,0,feb4,017d
461,461,0,fee7,01a4
462,462,0,ff1f,01c5
463,463,0,ff5a,01df
464,464,0,ff98,01f1
465,465,0,ffd8,01fb
466,466,0,0016,01fd
467,467,0,0053,01f7
468,468,0,008d,01e9
469,469,0,00c3,01d4
470,470,0,00f5,01b8
471,471,0,0122,0196
472,472,0,0149,016e
473,473,0,016c,0142
474,474,0,0189,0111
475,475,0,01a2,00dc
476,476,0,01b5,00a4
477,477,0,01c2,0069
478,478,0,01c9,002c
479,479,0,01ca,ffed
480,480,0,01c4,ffad
481,481,0,01b7,ff6d
482,482,0,01a1,ff2f
483,483,0,0184,fef3
484,484,0,015f,febc
485,485,0,0133,fe8b
486,486,0,0100,fe61
487,487,0,00c8,fe40
488,488,0,008b,fe27
489,489,0,004b,fe19
490,490,0,0009,fe13
491,491,0,ffc7,fe17
492,492,0,ff85,fe24
493,493,0,ff45,fe37
494,494,0,ff09,fe52
495,495,0,fed2,fe71
496,496,0,fea1,fe95
497,497,0,fe77,febe
498,498,0,fe56,fee9
499,499,0,fe3c,ff17
500,500,0,fe2b,ff49
501,501,0,fe21,ff7d
502,502,0,fe20,ffb3
503,503,0,fe26,ffeb
504,504,0,fe33,0025
505,505,0,fe46,005f
506,506,0,fe60,0099
507,507,0,fe7e,00d1
508,508,0,fea2,0108
509,509,0,fecb,013b
510,510,0,fef8,016a
511,511,0,ff28,0194
512,512,1,ff5c,01b7
513,513,0,ff92,01d4
514,514,0,ffc9,01e9
515,515,0,0002,01f5
516,516,0,003a,01f8
517,517,0,0071,01f1
518,518,0,00a6,01e2
519,519,0,00d8,01c8
520,520,0,0107,01a7
521,521,0,0130,017d
522,522,0,0155,014d
523,523,0,0174,0117
524,524,0,018d,00de
525,525,0,01a0,00a3
526,526,0,01ad,0066
527,527,0,01b5,0029
528,528,0,01b7,ffee
529,529,0,01b3,ffb4
530,530,0,01a8,ff7d
531,531,0,0198,ff48
532,532,0,0181,ff16
533,533,0,0164,fee8
534,534,0,0141,febd
535,535,0,0117,fe97
536,536,0,00e8,fe76
537,537,0,00b4,fe59
538,538,0,007c,fe42
539,539,0,0042,fe30
540,540,0,0007,fe25
541,541,0,ffcc,fe20
542,542,0,ff92,fe21
543,543,0,ff5a,fe29
544,544,0,ff24,fe38
545,545,0,fef2,fe4f
546,546,0,fec3,fe6e
547,547,0,fe97,fe94
548,548,0,fe70,fec2
549,549,0,fe4e,fef8
550,550,0,fe31,ff34
551,551,0,fe1b,ff75
552,552,0,fe0c,ffba
553,553,0,fe03,0001
554,554,0,fe03,0048
555,555,0,fe0b,008d
556,556,0,fe1b,00cf
557,557,0,fe32,010c
558,558,0,fe52,0142
559,559,0,fe7a,0172
560,560,0,fea8,019c
561,561,0,fedd,01be
562,562,0,ff18,01d9
563,563,0,ff57,01ee
564,564,0,ff99,01fd
565,565,0,ffdd,0205
566,566,0,0021,0207
567,567,0,0065,0202
568,568,0,00a5,01f7
569,569,0,00e1,01e4
570,570,0,0117,01ca
571,571,0,0148,01a7
572,572,0,0171,017d
573,573,0,0194,014b
574,574,0,01b0,0112
575,575,0,01c5,00d3
576,576,0,01d5,008f
577,577,0,01de,0048
578,578,0,01e1,ffff
579,579,0,01e0,ffb8
580,580,0,01d7,ff74
581,581,0,01c9,ff34
582,582,0,01b5,fef9
583,583,0,0199,fec5
584,584,0,0177,fe98
585,585,0,014e,fe72
586,586,0,011d,fe53
587,587,0,00e7,fe3a
588,588,0,00ab,fe27
589,589,0,006a,fe1b
590,590,0,0027,fe13
591,591,0,ffe2,fe12
592,592,0,ff9d,fe16
593,593,0,ff5a,fe20
594,594,0,ff1b,fe31
595,595,0,fee1,fe4a
596,596,0,fead,fe69
597,597,0,fe7f,fe90
598,598,0,fe5a,febf
599,599,0,fe3c,fef4
600,600,0,fe27,ff30
601,601,0,fe19,ff71
602,602,0,fe14,ffb5
603,603,0,fe16,fffd
604,604,0,fe20,0044
605,605,0,fe31,008b
606,606,0,fe49,00ce
607,607,0,fe68,010d
608,608,0,fe8d,0145
609,609,0,feb8,0177
610,610,0,fee8,01a0
611,611,0,ff1c,01c2
612,612,0,ff55,01da
613,613,0,ff93,01eb
614,614,0,ffd4,01f3
615,615,0,0017,01f2
616,616,0,005b,01ea
617,617,0,009c,01da
618,618,0,00d7,01c2
619,619,0,0108,01a3
620,620,0,012a,017f
621,621,0,0139,0157
622,622,0,0133,012e
623,623,0,0115,0107
624,624,0,00e1,00e4
625,625,0,0099,00c8
626,626,0,0042,00b6
627,627,0,ffe5,00ae
628,628,0,ff88,00b3
629,629,0,ff33,00c1
630,630,0,feed,00da
631,631,0,febb,00f9
632,632,0,fe9f,011d
633,633,0,fe9b,0142
634,634,0,feac,0167
635,635,0,fecf,0189
636,636,0,ff00,01a7
637,637,0,ff3a,01bf
638,638,0,ff79,01d1
639,639,0,ffba,01dc
640,640,0,fffb,01df
641,641,0,003b,01db
642,642,0,0078,01d0
643,643,0,00b2,01bd
644,644,0,00ea,01a2
645,645,0,011f,0180
646,646,0,014f,0157
647,647,0,017b,0127
648,648,0,01a0,00f1
649,649,0,01bd,00b7
650,650,0,01d1,007a
651,651,0,01dc,003b
652,652,0,01dd,fffc
653,653,0,01d6,ffbd
654,654,0,01c5,ff81
655,655,0,01ac,ff49
656,656,0,018d,ff14
657,657,0,0167,fee5
658,658,0,013c,feba
659,659,0,010d,fe95
660,660,0,00db,fe76
661,661,0,00a5,fe5c
662,662,0,006e,fe49
663,663,0,0035,fe3b
664,664,0,fffa,fe34
665,665,0,ffc0,fe34
666,666,0,ff85,fe3b
667,667,0,ff4c,fe49
668,668,0,ff14,fe5e
669,669,0,fedf,fe7a
670,670,0,feae,fe9c
671,671,0,fe81,fec5
672,672,0,fe59,fef3
673,673,0,fe38,ff27
674,674,0,fe1f,ff5f
675,675,0,fe0d,ff9a
676,676,0,fe03,ffd7
677,677,0,fe01,0016
678,678,0,fe08,0055
679,679,0,fe17,0092
680,680,0,fe2c,00cc
681,681,0,fe49,0103
682,682,0,fe6b,0134
683,683,0,fe93,0160
684,684,0,fec0,0185
685,685,0,fef0,01a2
686,686,0,ff24,01b8
687,687,0,ff5a,01c7
688,688,0,ff93,01d0
689,689,0,ffce,01d2
690,690,0,0009,01d0
691,691,0,0045,01c7
692,692,0,0080,01ba
693,693,0,00b9,01a7
694,694,0,00f0,0190
695,695,0,0124,0173
696,696,0,0154,0151
697,697,0,017f,0129
698,698,0,01a4,00fb
699,699,0,01c3,00c8
700,700,0,01da,0091
701,701,0,01eb,0056
702,702,0,01f4,001a
703,703,0,01f5,ffdc
704,704,0,01ee,ff9e
705,705,0,01de,ff62
706,706,0,01c7,ff28
707,707,0,01a8,fef2
708,708,0,0181,febf
709,709,0,0153,fe91
710,710,0,011f,fe68
711,711,0,00e5,fe46
712,712,0,00a6,fe2b
713,713,0,0064,fe17
714,714,0,0020,fe0b
715,715,0,ffdb,fe08
716,716,0,ff97,fe0e
717,717,0,ff57,fe1c
718,718,0,ff1a,fe33
719,719,0,fee3,fe51
720,720,0,feb3,fe75
721,721,0,fe8a,fea0
722,722,0,fe69,fecf
723,723,0,fe50,ff03
724,724,0,fe3e,ff3b
725,725,0,fe33,ff76
726,726,0,fe2e,ffb3
727,727,0,fe30,fff1
728,728,0,fe37,0030
729,729,0,fe43,006f
730,730,0,fe55,00ab
731,731,0,fe6c,00e5
732,732,0,fe8a,011a
733,733,0,fead,0149
734,734,0,fed6,0173
735,735,0,ff05,0195
736,736,0,ff39,01b1
737,737,0,ff72,01c5
738,738,0,ffae,01d2
739,739,0,ffec,01d8
740,740,0,002c,01d8
741,741,0,006a,01d1
742,742,0,00a7,01c4
743,743,0,00e0,01b1
744,744,0,0115,0197
745,745,0,0145,0177
746,746,0,016e,0152
747,747,0,0190,0127
748,748,0,01aa,00f7
749,749,0,01be,00c3
750,750,0,01cb,008c
751,751,0,01d1,0053
752,752,0,01d1,0018
753,753,0,01cb,ffdd
754,754,0,01c1,ffa2
755,755,0,01b2,ff68
756,756,0,019e,ff30
757,757,0,0186,fefb
758,758,0,0168,fecb
759,759,0,0145,fe9e
760,760,0,011c,fe78
761,761,0,00ed,fe58
762,762,0,00b8,fe3e
763,763,0,007d,fe2b
764,764,0,003e,fe1f
765,765,0,fffa,fe1a
766,766,0,ffb5,fe1d
767,767,0,ff70,fe27
768,768,0,ff2c,fe38
769,769,0,feec,fe50
770,770,0,feb2,fe70
771,771,0,fe7f,fe98
772,772,0,fe55,fec6
773,773,0,fe34,fefb
774,774,0,fe1d,ff35
775,775,0,fe0e,ff72
776,776,0,fe09,ffb2
777,777,0,fe0b,fff2
778,778,0,fe15,0031
779,779,0,fe26,006d
780,780,0,fe3c,00a5
781,781,0,fe58,00d8
782,782,0,fe79,0106
783,783,0,fe9f,012e
784,784,0,fec9,0152
785,785,0,fef8,0172
786,786,0,ff2c,018e
787,787,0,ff63,01a6
788,788,0,ff9e,01ba
789,789,0,ffdc,01c9
790,790,0,001b,01d3
791,791,0,005b,01d6
792,792,0,009a,01d1
793,793,0,00d6,01c3
794,794,0,010d,01ab
795,795,0,0140,0189
796,796,0,016d,015f
797,797,0,0193,012c
798,798,0,01b2,00f2
799,799,0,01c9,00b3
800,800,0,01d8,0071
801,801,0,01e0,002e
802,802,0,01e0,ffeb
803,803,0,01d8,ffab
804,804,0,01c8,ff6d
805,805,0,01b1,ff33
806,806,0,0193,fefe
807,807,0,016e,fecd
808,808,0,0144,fea1
809,809,0,0114,fe7a
810,810,0,00e1,fe58
811,811,0,00ac,fe3d
812,812,0,0074,fe29
813,813,0,003c,fe1c
814,814,0,0004,fe17
815,815,0,ffcd,fe1a
