Sample in Buffer,Sample in Window,TRIGGER,w_adc[15:0],w_fft_data_q[26:0],w_mag[26:0],w_fft_data_i[26:0],w_fft_tlast_out
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX
167,167,0,-951,00001ec,451,84,0
168,168,0,0,00001f5,455,81,0
169,169,0,951,00001f4,448,79,0
170,170,0,588,00001f7,464,76,0
171,171,0,-588,00001fe,448,79,0
172,172,0,-951,00001f8,467,61,0
173,173,0,0,0000208,466,69,0
174,174,0,951,000020a,467,69,0
175,175,0,588,000020e,478,57,0
176,176,0,-588,000020e,476,55,0
177,177,0,-951,000021d,483,56,0
178,178,0,0,0000216,501,56,0
179,179,0,951,0000222,488,52,0
180,180,0,588,0000228,495,47,0
181,181,0,-588,000022f,501,44,0
182,182,0,-951,000023b,507,36,0
183,183,0,0,000023b,497,44,0
184,184,0,951,0000245,513,37,0
185,185,0,588,000024a,514,30,0
186,186,0,-588,0000252,518,38,0
187,187,0,-951,000025c,517,23,0
188,188,0,0,0000257,532,23,0
189,189,0,951,0000263,537,13,0
190,190,0,588,0000269,539,20,0
191,191,0,-588,000026b,555,11,0
192,192,0,-951,0000274,548,4,0
193,193,0,0,000027b,548,1,0
194,194,0,951,000027f,558,3,0
195,195,0,588,0000287,560,-8,0
196,196,0,-588,0000294,559,-18,0
197,197,0,-951,0000297,580,-18,0
198,198,0,0,00002a0,581,-13,0
199,199,0,951,00002a6,591,-31,0
200,200,0,588,00002b2,590,-27,0
201,201,0,-588,00002b4,592,-32,0
202,202,0,-951,00002bb,600,-31,0
203,203,0,0,00002c6,591,-45,0
204,204,0,951,00002c4,610,-41,0
205,205,0,588,00002d2,613,-53,0
206,206,0,-588,00002e1,616,-60,0
207,207,0,-951,00002ed,616,-70,0
208,208,0,0,00002eb,633,-61,0
209,209,0,951,00002f8,625,-72,0
210,210,0,588,00002fc,639,-78,0
211,211,0,-588,0000303,645,-76,0
212,212,0,-951,000031d,652,-90,0
213,213,0,0,000031f,666,-92,0
214,214,0,951,0000325,667,-99,0
215,215,0,588,0000338,678,-103,0
216,216,0,-588,0000339,683,-112,0
217,217,0,-951,0000342,693,-118,0
218,218,0,0,000034c,703,-122,0
219,219,0,951,0000359,698,-127,0
220,220,0,588,0000360,712,-140,0
221,221,0,-588,0000371,719,-143,0
222,222,0,-951,000037a,721,-157,0
223,223,0,0,0000385,731,-165,0
224,224,0,951,0000393,739,-166,0
225,225,0,588,000039f,744,-178,0
226,226,0,-588,00003af,753,-187,0
227,227,0,-951,00003af,769,-184,0
228,228,0,0,00003cf,772,-200,0
229,229,0,951,00003d2,782,-212,0
230,230,0,588,00003e3,790,-213,0
231,231,0,-588,00003e2,804,-224,0
232,232,0,-951,00003fa,806,-242,0
233,233,0,0,000040b,815,-243,0
234,234,0,951,0000416,828,-255,0
235,235,0,588,0000426,825,-263,0
236,236,0,-588,0000444,843,-282,0
237,237,0,-951,0000448,861,-286,0
238,238,0,0,000045f,876,-292,0
239,239,0,951,0000460,873,-307,0
240,240,0,588,0000482,888,-312,0
241,241,0,-588,000048b,894,-328,0
242,242,0,-951,000049c,902,-337,0
243,243,0,0,00004b0,934,-349,0
244,244,0,951,00004c6,936,-371,0
245,245,0,588,00004d8,944,-383,0
246,246,0,-588,00004f0,967,-397,0
247,247,0,-951,00004fc,969,-409,0
248,248,0,0,0000521,981,-419,0
249,249,0,951,0000532,993,-444,0
250,250,0,588,0000548,1008,-461,0
251,251,0,-588,0000566,1019,-474,0
252,252,0,-951,0000572,1039,-493,0
253,253,0,0,0000593,1052,-509,0
254,254,0,951,000059e,1067,-528,0
255,255,0,588,00005cd,1083,-537,0
256,256,0,-588,00005e8,1099,-561,0
257,257,0,-951,0000603,1120,-588,0
258,258,0,0,0000621,1118,-614,0
259,259,0,951,0000645,1159,-628,0
260,260,0,588,000066a,1165,-655,0
261,261,0,-588,000068b,1185,-678,0
262,262,0,-951,00006ad,1186,-707,0
263,263,0,0,00006ce,1218,-736,0
264,264,0,951,00006f6,1238,-752,0
265,265,0,588,0000724,1254,-784,0
266,266,0,-588,000074e,1274,-818,0
267,267,0,-951,0000779,1313,-864,0
268,268,0,0,00007b1,1319,-874,0
269,269,0,951,00007df,1347,-915,0
270,270,0,588,0000810,1352,-961,0
271,271,0,-588,0000843,1392,-996,0
272,272,0,-951,0000882,1407,-1041,0
273,273,0,0,00008c3,1429,-1080,0
274,274,0,951,0000904,1455,-1124,0
275,275,0,588,0000949,1487,-1176,0
276,276,0,-588,0000995,1511,-1228,0
277,277,0,-951,00009e0,1543,-1285,0
278,278,0,0,0000a38,1560,-1335,0
279,279,0,951,0000a8f,1605,-1402,0
280,280,0,588,0000aef,1633,-1469,0
281,281,0,-588,0000b55,1663,-1549,0
282,282,0,-951,0000bb8,1701,-1624,0
283,283,0,0,0000c3d,1721,-1712,0
284,284,0,951,0000cba,1764,-1809,0
285,285,0,588,0000d47,1784,-1902,0
286,286,0,-588,0000dde,1839,-2008,0
287,287,0,-951,0000e7c,1878,-2131,0
288,288,0,0,0000f37,1918,-2257,0
289,289,0,951,0000ffe,1962,-2406,0
290,290,0,588,00010dc,2007,-2565,0
291,291,0,-588,00011d3,2058,-2744,0
292,292,0,-951,00012f2,2104,-2953,0
293,293,0,0,0001428,2154,-3177,0
294,294,0,951,0001597,2202,-3438,0
295,295,0,588,0001729,2252,-3746,0
296,296,0,-588,0001914,2316,-4087,0
297,297,0,-951,0001b49,2376,-4500,0
298,298,0,0,0001def,2444,-4989,0
299,299,0,951,0002136,2508,-5596,0
300,300,0,588,0002539,2577,-6338,0
301,301,0,-588,0002a4d,2651,-7294,0
302,302,0,-951,0003119,2722,-8558,0
303,303,0,0,0003a88,2811,-10297,0
304,304,0,951,000485b,2899,-12867,0
305,305,0,588,0005ee7,2989,-17067,0
306,306,0,-588,00089e6,3088,-25046,0
307,307,0,-951,000fc9d,3194,-46385,0
308,308,0,0,005ea0f,3302,-281017,0
309,309,0,951,7fe85db,3420,70923,0
310,310,0,588,7ff5821,3546,31810,0
311,311,0,-588,7ff942e,3680,20638,0
312,312,0,-951,7ffb0ad,3829,15356,0
313,313,0,0,7ffc142,3972,12269,0
314,314,0,951,7ffcc26,4157,10235,0
315,315,0,588,7ffd3d9,4339,8818,0
316,316,0,-588,7ffd98b,4535,7763,0
317,317,0,-951,7ffddf2,4749,6931,0
318,318,0,0,7ffe16e,4980,6285,0
319,319,0,951,7ffe457,5242,5752,0
320,320,0,588,7ffe6b9,5529,5309,0
321,321,0,-588,7ffe8b4,5846,4937,0
322,322,0,-951,7ffea66,6200,4609,0
323,323,0,0,7ffebe7,6612,4350,0
324,324,0,951,7ffed41,7056,4103,0
325,325,0,588,7ffee5c,7579,3891,0
326,326,0,-588,7ffef5c,8166,3708,0
327,327,0,-951,7fff043,8862,3545,0
328,328,0,0,7fff118,9675,3385,0
329,329,0,951,7fff1d5,10647,3250,0
330,330,0,588,7fff284,11852,3118,0
331,331,0,-588,7fff327,13326,3010,0
332,332,0,-951,7fff3ad,15203,2898,0
